,Status,Sentence
0,sad,"বরাবর, মাননীয় প্রধানমন্ত্রী গণপ্রজাতন্ত্রী বাংলাদেশ সরকার। মাননীয় প্রধানমন্ত্রী, আমি আপনার স্বপ্নের ডিজিটাল বাংলাদেশের স্বপ্ন বুকে লালনকারী একজন সাধারণ ছাত্র। শত সহস্র আশা এবং দেশের প্রতি এক অকৃত্তিম ভালোবাসা এবং নিজেকে দেশের জন্য যোগ্য করে গড়ে তোলার এক তীব্র আকাঙ্ক্ষা নিয়ে ভর্তি হয়েছিলাম আপনার নিজ হাতে প্রতিষ্ঠিত দেশের অন্যতম বিশ্ববিদ্যালয় যশোর বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়ে। একটি ডিজিটাল বাংলাদেশ গড়তে এ ধরণের একটি প্রযুক্তি বিশ্ববিদ্যালয় প্রতিষ্ঠা করা নিঃসন্দেহে আপনার দেশ পরিচালনার একটি বিচক্ষণতার পরিচয় বহন করে। আপনি যশোর বাসির স্বপ্নের এই প্রতিষ্ঠানে শত শত কোটি টাকা বিনিয়োগ করেছেন দুহাত উজাড় করে। কিন্তু অত্যন্ত দুঃখের সাথে সেই বিশ্ববিদ্যালয় জীবনের সূচনালগ্ন থেকে অনুভব করছি যে, অনেক পাওয়ার আনন্দে যখন শিক্ষার্থীদের মনপ্রান উজাড় করে পড়ালেখা করার কথা, তার বিপরীতে এই কমলমতি শিক্ষার্থীরা সদা দিনাতিপাত করছে প্রাণ নাশের হুমকি, শ্লীলতাহানীর গ্লানি, আর ছাত্রত্ত বাতিল হওয়ার হুমকি নিয়ে। সম্মানিত শিক্ষকদের কে মারতে যাওয়া, গলা কেটে ফেলার হুমকি, প্রাণ নাশের হুমকি, কটূক্তি করা আজ এখানে নিয়মিত ঘটনা। মাননীয় প্রধানমন্ত্রী যেখানে শিক্ষার্থীরা শিক্ষকদের পিতামাতার মত সম্মান করে তাদের সামনে একজন চতুর্থ শ্রেণীর কর্মচারীর দ্বারা শিক্ষকদের নিয়মিত এমন ঘটনার শিকার হওয়া আমাদের ডিজিটাল বাংলাদেশের স্বপ্নে যেন পাক হানাদার বাহিনীর মত হানা দিয়ে যায়। যখন চোখের সামনে আমার ছাত্রী বোনের স্লিলতাহানীর চেষ্টা করা হয়, আর প্রতিবাদ করতে গিয়ে বহিষ্কার হতে হয় শিক্ষার্থীদের তখন মনে হয় সেই ভাষা আন্দোলন আর মুক্তিযুদ্ধের বিভীষিকাময় দিন গুলোর কথা। আপনার সুশাসনের বাংলাদেশে এমন একটি আদর্শ বিশ্ববিদ্যালয়ে, বিশ্ববিদ্যালয়ের প্রশাসনের পোষা সন্ত্রাসী মাদক ব্যাবসায়ী, শিক্ষকদের লাঞ্চিত করা, ছাত্রদের জীবন নিয়ে ছিনিমিনি খেলা, এবং ছাত্রীদের লাঞ্চিত করার যে বিরল নজীর স্থাপন করেছে তা আপনার আমাদের স্বপ্নের সোনার বাংলা গড়ার সম্পূর্ণ পরিপন্থী। মাননীয় প্রধানমন্ত্রী হাজার হাজার শিক্ষক, শিক্ষার্থীর মিলিত আর্তনাদে আজ যশোরের আকাশ বাতাস প্রকম্পিত, বসরের পর বসর একজন কর্মচারী প্রশাসনের ছত্রছায়ায় এমন অন্যায় করে যাচ্ছে তার প্রতিকার কি আজও হবে না?? জীবনের সোনালি সময় গুলো চলে যাচ্ছে ক্লাস পরীক্ষা না দিয়ে, যশোর বিশ্ববিদ্যালয় বন্ধ দুই সপ্তাহ যাবত। আর কতটুকু সময় পেরোলে আমরা নতুন সূর্য দেখব? আর কত শিক্ষক লাঞ্চিত হলে, ছাত্রী লাঞ্চিত হলে, ছাত্রদের জীবন বিপন্ন হলে আপনার সাহায্য পাব?? অনুগ্রহ করে আমাদের স্বপ্ন গুলো বাচাতে এগিয়ে আসুন। আপনার সুদৃষ্টির পথ পানে চেয়ে দিন গুনছি আমরা। বিনীত মোঃ নাসির উদ্দিন বাদল জীন প্রকৌশল ও জীব প্রযুক্তি বিভাগ যশোর বিজ্ঞান ও প্রযুক্তি বিশ্ববিদ্যালয়।"
1,sad,"তদন্ত করে লাভ কী ? কোন দিন কোন তদন্তের পর কিছু হয়েছে বলে কী আপনার মন পরে ? রাজনৈতিক শক্তির সামনে তদন্ত কিছুই করতে পারবে না ! আর তাই আমাদের সামান্য মাথাব্যাথা, পেট ব্যাথা হলে বা কলে পরিস্কার পানি না পেলে, সঠিক বিচার না পেলে আমরা আমাদের মাননীয় প্রধামন্ত্রীর দৃস্টি আর্কষন করে থাকি ! কিন্তু সকল দায়িত্ব কী তার একা ? তিনিই বা কেন লাথি দিয়ে এদের বহিস্কার করতে পারে না ?"
2,angry,দেশকি মধ্যম আয়ের দেশে রুপান্তর হচ্ছে নাকি মগের মুলুকের দেশে পরিনত হচ্ছে?
3,happy,আমি গর্বিত আমি মুসলিম। আমি সংগ্রামী। আমি যোদ্ধা। আমি চির রণবীর। আমি আল্লাহ ছারা কারও কাছে নিচু করি না আমার শির। নারায়ে তাকবির আল্লাহু আকবর।
4,angry,রাতের বেলা আবার কিসের সকাল।
5,sad,"মনে রাকবেন এই বেহাইয়াপনাতে মা ও বোনদের সসম্মান বাড়ছেনা তোমাদের ইজ্জত লুটে নিচ্ছে।ঐ ছায়ানট।সময় আছে নিজের সম্মান বাচানোর।ভেবে দেখুন আপনাদের ছোলাকলার মত বিক্রয় করছে যাতে মাছি পড়ে নস্ট হয়,টাকা দিয়ে কেও কিনে খায়না।"
6,disgust,কবে যানি ভূকম্পনে এ রমনা বটমূল মাটির সাথে মিশে যায়। আল্লাহ্ সবাইকে হিদায়েত দিক
7,angry,নাস্তিকরা কমতেছে তো
8,surprise,এবার লোকসমাগম খুব কম হয়েছে যা প্রশ্নই থেকে যায় কেন ?
9,sad,কেয়ামতের  তোমাদের ছায়া নট।
