,Status,Sentence
0,sad,"বরাবর, মাননীয় প্রধানমন্ত্রী গণপ্রজাতন্ত্রী বাংলাদেশ সরকার। মাননীয় প্রধানমন্ত্রী, স্বপ্নের ডিজিটাল বাংলাদেশের স্বপ্ন বুকে লালনকারী একজন ছাত্র। শত সহস্র আশা দেশের এক অকৃত্তিম ভালোবাসা নিজেকে দেশের যোগ্য গড়ে তোলার এক তীব্র আকাঙ্ক্ষা ভর্তি হয়েছিলাম নিজ হাতে প্রতিষ্ঠিত দেশের অন্যতম বিশ্ববিদ্যালয় যশোর বিজ্ঞান প্রযুক্তি বিশ্ববিদ্যালয়ে। ডিজিটাল বাংলাদেশ গড়তে ধরণের প্রযুক্তি বিশ্ববিদ্যালয় প্রতিষ্ঠা নিঃসন্দেহে দেশ পরিচালনার বিচক্ষণতার পরিচয় বহন করে। যশোর বাসির স্বপ্নের প্রতিষ্ঠানে শত শত টাকা বিনিয়োগ দুহাত উজাড় করে। অত্যন্ত দুঃখের সাথে বিশ্ববিদ্যালয় জীবনের সূচনালগ্ন অনুভব করছি যে, পাওয়ার আনন্দে শিক্ষার্থীদের মনপ্রান উজাড় পড়ালেখা কথা, বিপরীতে কমলমতি শিক্ষার্থীরা সদা দিনাতিপাত প্রাণ নাশের হুমকি, শ্লীলতাহানীর গ্লানি, ছাত্রত্ত বাতিল হুমকি নিয়ে। সম্মানিত শিক্ষকদের মারতে যাওয়া, গলা কেটে ফেলার হুমকি, প্রাণ নাশের হুমকি, কটূক্তি নিয়মিত ঘটনা। মাননীয় প্রধানমন্ত্রী শিক্ষার্থীরা শিক্ষকদের পিতামাতার মত সম্মান একজন চতুর্থ শ্রেণীর কর্মচারীর শিক্ষকদের নিয়মিত ঘটনার শিকার ডিজিটাল বাংলাদেশের স্বপ্নে পাক হানাদার বাহিনীর মত হানা যায়। চোখের ছাত্রী বোনের স্লিলতাহানীর হয়, প্রতিবাদ বহিষ্কার শিক্ষার্থীদের ভাষা আন্দোলন মুক্তিযুদ্ধের বিভীষিকাময় গুলোর কথা। সুশাসনের বাংলাদেশে আদর্শ বিশ্ববিদ্যালয়ে, বিশ্ববিদ্যালয়ের প্রশাসনের পোষা সন্ত্রাসী মাদক ব্যাবসায়ী, শিক্ষকদের লাঞ্চিত করা, ছাত্রদের জীবন ছিনিমিনি খেলা, ছাত্রীদের লাঞ্চিত বিরল নজীর স্থাপন স্বপ্নের সোনার বাংলা গড়ার সম্পূর্ণ পরিপন্থী। মাননীয় প্রধানমন্ত্রী শিক্ষক, শিক্ষার্থীর মিলিত আর্তনাদে যশোরের আকাশ বাতাস প্রকম্পিত, বসরের বসর একজন কর্মচারী প্রশাসনের ছত্রছায়ায় অন্যায় প্রতিকার আজও না?? জীবনের সোনালি সময় গুলো ক্লাস পরীক্ষা দিয়ে, যশোর বিশ্ববিদ্যালয় বন্ধ সপ্তাহ যাবত। কতটুকু সময় পেরোলে সূর্য দেখব? শিক্ষক লাঞ্চিত হলে, ছাত্রী লাঞ্চিত হলে, ছাত্রদের জীবন বিপন্ন সাহায্য পাব?? অনুগ্রহ স্বপ্ন গুলো বাচাতে এগিয়ে আসুন। সুদৃষ্টির পথ পানে গুনছি আমরা। বিনীত মোঃ নাসির উদ্দিন বাদল জীন প্রকৌশল জীব প্রযুক্তি বিভাগ যশোর বিজ্ঞান প্রযুক্তি বিশ্ববিদ্যালয়।"
1,sad,"তদন্ত লাভ ? তদন্তের হয়েছে মন ? রাজনৈতিক শক্তির তদন্ত পারবে ! সামান্য মাথাব্যাথা, পেট ব্যাথা কলে পরিস্কার পানি পেলে, সঠিক বিচার পেলে মাননীয় প্রধামন্ত্রীর দৃস্টি আর্কষন থাকি ! সকল দায়িত্ব একা ? তিনিই লাথি দিয়ে বহিস্কার ?"
2,angry,দেশকি মধ্যম আয়ের দেশে রুপান্তর মগের মুলুকের দেশে পরিনত হচ্ছে?
3,happy,গর্বিত মুসলিম। সংগ্রামী। যোদ্ধা। চির রণবীর। আল্লাহ ছারা নিচু শির। নারায়ে তাকবির আল্লাহু আকবর।
4,angry,রাতের বেলা কিসের সকাল।
5,sad,"রাকবেন বেহাইয়াপনাতে মা বোনদের সসম্মান বাড়ছেনা তোমাদের ইজ্জত লুটে নিচ্ছে।ঐ ছায়ানট।সময় সম্মান বাচানোর।ভেবে দেখুন আপনাদের ছোলাকলার মত বিক্রয় মাছি পড়ে নস্ট হয়,টাকা দিয়ে কেও কিনে খায়না।"
6,disgust,যানি ভূকম্পনে রমনা বটমূল মাটির সাথে মিশে যায়। আল্লাহ্ সবাইকে হিদায়েত দিক
7,angry,নাস্তিকরা কমতেছে
8,surprise,লোকসমাগম কম হয়েছে প্রশ্নই যায় ?
9,sad,কেয়ামতের তোমাদের ছায়া নট।
10,fear,কেয়ামতের মাঠে তোমাদের ছাড়া নট।
11,angry,বাংলাদেশের নদীর ওপর ভারতীয় আগ্রাসনের বিরুদ্ধে ঐক্যবদ্ধ হোন
12,disgust,শফিক রেহমান এক পীর...............।। হা হহা হহহা
13,disgust,"নষ্টামি,"
14,angry,মরলেবুজবে ছাইয়ানঠকাকেবলে
15,surprise,কালো টাকা দিয়া সবকিছু কড়া জায়া
16,angry,ভন্ডামী শালীরা। অমুসলিম।
17,fear,"তাইতো সদা ব্যাস্ত প্রাচীন ধর্মের প্রসারে। মঙ্গোল শোভা যাত্রায় কোন? শিক্ষাটি পাই, মঙ্গোল আসবে!যেখানে পুতুলের দেবতাকর্তৃক মঙ্গলময় বাংলাদেশ, ধারনা পোশনকারীদের উপরি নির্ভর দেশের সামগ্রিক কৃষ্টি! অথচ, অমঙ্গলকর গ্রাস , অতীতের যতটুকু মৌলিক অর্জন।"
18,happy,"১৯৮৬ সালে চারুপীঠ নামের প্রতিষ্ঠান যশোরে প্রথমবারের নববর্ষ উপলক্ষে আনন্দ শোভাযাত্রার আয়োজন করে। যশোরের শোভাযাত্রায় পাপেট, বাঘের প্রতিকৃতি, পুরানো বাদ্যসহ আরো শিল্পকর্ম। শুরুর বছরেই যশোরে শোভাযাত্রা আলোড়ন তৈরি করে। যশোরের শোভাযাত্রার উদ্যোক্তাদের একজন মাহবুব জামাল শামীম মাস্টার্স ডিগ্রি ঢাকার চারুকলায় আসেন। পরবর্তীতে যশোরের শোভাযাত্রার আদলেই ঢাকার চারুকলা বর্ষবরণ আনন্দ শোভাযাত্রা। https://bn.wikipedia.org/wiki/%E%A%AE%E%A%%E%A%D%E%A%%E%A%B_%E%A%B%E%A%B%E%A%AD%E%A%BE%E%A%AF%E%A%BE%E%A%A%E%A%D%E%A%B%E%A%BE"
19,surprise,"ঢাকা নয়, যশোরে হয়েছিল মঙ্গল শোভাযাত্রা http://www.newsbd.com////"
20,disgust,"তথ্য সঠিক উপস্থাপন দরকার, ভুল চলেছে সংবাদ মাধ্যম গুলি!!!!"
